Top View
Visible Edges: 20
0 1
8 9
9 10
10 11
11 12
12 13
13 14
14 15
15 8
0 8
2 10
3 11
24 25
25 26
26 27
27 28
28 29
29 30
30 31
31 24
Hidden Edges: 28
1 2
2 3
3 4
4 5
5 6
6 7
7 0
1 9
4 12
5 13
6 14
7 15
16 17
17 18
18 19
19 20
20 21
21 22
22 23
23 16
16 24
17 25
18 26
19 27
20 28
21 29
22 30
23 31

Front View
Visible Edges: 48
0 1
1 2
2 3
3 4
4 5
5 6
6 7
7 0
8 9
9 10
10 11
11 12
12 13
13 14
14 15
15 8
0 8
1 9
2 10
3 11
4 12
5 13
6 14
7 15
16 17
17 18
18 19
19 20
20 21
21 22
22 23
23 16
24 25
25 26
26 27
27 28
28 29
29 30
30 31
31 24
16 24
17 25
18 26
19 27
20 28
21 29
22 30
23 31
Hidden Edges: 0

Side View
Visible Edges: 48
0 1
1 2
2 3
3 4
4 5
5 6
6 7
7 0
8 9
9 10
10 11
11 12
12 13
13 14
14 15
15 8
0 8
1 9
2 10
3 11
4 12
5 13
6 14
7 15
16 17
17 18
18 19
19 20
20 21
21 22
22 23
23 16
24 25
25 26
26 27
27 28
28 29
29 30
30 31
31 24
16 24
17 25
18 26
19 27
20 28
21 29
22 30
23 31
Hidden Edges: 0

